text,intent,tema,lokasi,budget_min,budget_max,jumlah_tamu,tipe_acara,venue,waktu
cek batak semarang 500 50jt-60jt akad+resepsi weekday,tanya_kemungkinan,batak,semarang,50000000,60000000,500,akad+resepsi,masjid,weekday
catering internasional surabaya 600 10jt-30jt resepsi rumah,cari_catering,internasional,surabaya,10000000,30000000,600,resepsi,rumah,
dekor modern garut 120 90jt-120jt lamaran+akad rumah,cari_dekor,modern,garut,90000000,120000000,120,lamaran+akad,rumah,weekday
vendor batak jakarta pusat 120 <= 20jt akad+resepsi ballroom,cari_vendor,batak,jakarta pusat,0,20000000,120,akad+resepsi,ballroom,minggu
cek minimalis medan 180 50jt-60jt lamaran+akad taman pagi,tanya_kemungkinan,minimalis,medan,50000000,60000000,180,lamaran+akad,taman,pagi
estimasi melayu semarang 20 estimasi resepsi outdoor,estimasi_budget,melayu,semarang,0,0,20,resepsi,outdoor,siang
paket internasional depok 50 10jt-20jt villa malam,cari_rekomendasi_paket,internasional,depok,10000000,20000000,50,resepsi,villa,malam
cek rustic bekasi 250 200jt-300jt villa,tanya_kemungkinan,rustic,bekasi,200000000,300000000,250,resepsi,villa,pagi
vendor melayu bogor 100 100jt-150jt resepsi rumah,cari_vendor,melayu,bogor,100000000,150000000,100,resepsi,rumah,siang
dekor rustic bekasi 550 10jt-30jt akad hotel,cari_dekor,rustic,bekasi,10000000,30000000,550,akad,hotel,siang
dekor batak bekasi 450 40jt-60jt akad kebun siang,cari_dekor,batak,bekasi,40000000,60000000,450,akad,kebun,siang
paket batak puncak 50 120jt-150jt lamaran pantai,cari_rekomendasi_paket,batak,puncak,120000000,150000000,50,lamaran,pantai,siang
catering bugis surakarta 20 <= 20jt resepsi restoran,cari_catering,bugis,surakarta,0,20000000,20,resepsi,restoran,siang
vendor bugis yogyakarta 350 30jt-50jt akad+resepsi taman,cari_vendor,bugis,yogyakarta,30000000,50000000,350,akad+resepsi,taman,
dekor jawa jakarta selatan 20 100jt-150jt akad+resepsi resort,cari_dekor,jawa,jakarta selatan,100000000,150000000,20,akad+resepsi,resort,malam
cek rustic sentul 180 10jt-20jt lamaran resort,tanya_kemungkinan,rustic,sentul,10000000,20000000,180,lamaran,resort,malam
vendor mix_sunda_jawa sentul 20 30jt-40jt resepsi villa,cari_vendor,mix_sunda_jawa,sentul,30000000,40000000,20,resepsi,villa,pagi
vendor sunda surakarta 500 <= 8jt akad+resepsi villa,cari_vendor,sunda,surakarta,0,8000000,500,akad+resepsi,villa,weekday
estimasi batak surakarta 120 estimasi resepsi pantai,estimasi_budget,batak,surakarta,0,0,120,resepsi,pantai,pagi
cek melayu malang 200 <= 10jt akad+resepsi kebun,tanya_kemungkinan,melayu,malang,0,10000000,200,akad+resepsi,kebun,pagi
paket internasional bogor 450 180jt-250jt malam,cari_rekomendasi_paket,internasional,bogor,180000000,250000000,450,akad+resepsi,kebun,malam
estimasi jawa makassar 550 estimasi akad taman minggu,estimasi_budget,jawa,makassar,0,0,550,akad,taman,minggu
estimasi modern bandung 50 estimasi akad pantai,estimasi_budget,modern,bandung,0,0,50,akad,pantai,minggu
estimasi internasional surabaya 150 estimasi rooftop pagi,estimasi_budget,internasional,surabaya,0,0,150,lamaran+akad,rooftop,pagi
vendor minimalis cirebon 550 80jt-100jt outdoor,cari_vendor,minimalis,cirebon,80000000,100000000,550,akad+resepsi,outdoor,minggu
venue jawa medan 500 70jt-90jt ballroom,cari_venue,jawa,medan,70000000,90000000,500,akad,ballroom,
vendor internasional surakarta 80 50jt-70jt resepsi cafe,cari_vendor,internasional,surakarta,50000000,70000000,80,resepsi,cafe,pagi
venue bugis pekanbaru 200 200jt-300jt lamaran resort,cari_venue,bugis,pekanbaru,200000000,300000000,200,lamaran,resort,minggu
cek sunda sentul 350 lamaran cafe,tanya_kemungkinan,sunda,sentul,20000000,30000000,350,lamaran,cafe,malam
venue modern malang 100 80jt-100jt pantai,cari_venue,modern,malang,80000000,100000000,100,lamaran+akad,pantai,malam
vendor melayu bekasi 120 60jt-80jt resepsi gedung,cari_vendor,melayu,bekasi,60000000,80000000,120,resepsi,gedung,malam
venue batak surabaya 120 60jt-70jt lamaran+akad masjid,cari_venue,batak,surabaya,60000000,70000000,120,lamaran+akad,masjid,pagi
cek batak tasikmalaya 500 <= 5jt akad gedung,tanya_kemungkinan,batak,tasikmalaya,0,5000000,500,akad,gedung,malam
paket rustic tasikmalaya 150 akad+resepsi rumah,cari_rekomendasi_paket,rustic,tasikmalaya,30000000,50000000,150,akad+resepsi,rumah,pagi
vendor rustic yogyakarta 550 30jt-40jt cafe minggu,cari_vendor,rustic,yogyakarta,30000000,40000000,550,lamaran+akad,cafe,minggu
vendor jawa jakarta pusat 500 180jt-215jt lamaran+akad pantai,cari_vendor,jawa,jakarta pusat,180000000,215000000,500,lamaran+akad,pantai,pagi
dekor minimalis jakarta selatan 180 40jt-60jt resepsi gedung weekday,cari_dekor,minimalis,jakarta selatan,40000000,60000000,180,resepsi,gedung,weekday
paket jawa puncak 200 150jt-200jt akad kebun weekday,cari_rekomendasi_paket,jawa,puncak,150000000,200000000,200,akad,kebun,weekday
catering melayu depok 450 <= 8jt lamaran gedung,cari_catering,melayu,depok,0,8000000,450,lamaran,gedung,
estimasi minang puncak 600 estimasi akad pantai,estimasi_budget,minang,puncak,0,0,600,akad,pantai,weekday
vendor melayu bogor 250 <= 5jt akad+resepsi hotel,cari_vendor,melayu,bogor,0,5000000,250,akad+resepsi,hotel,malam
vendor batak semarang 300 <= 20jt akad outdoor malam,cari_vendor,batak,semarang,0,20000000,300,akad,outdoor,malam
dekor minimalis padang 300 200jt-300jt lamaran cafe,cari_dekor,minimalis,padang,200000000,300000000,300,lamaran,cafe,weekday
paket jawa yogyakarta 180 80jt-100jt lamaran masjid,cari_rekomendasi_paket,jawa,yogyakarta,80000000,100000000,180,lamaran,masjid,pagi
dekor melayu padang 20 <= 20jt lamaran+akad malam,cari_dekor,melayu,padang,0,20000000,20,lamaran+akad,hotel,malam
cek jawa cirebon 100 200jt-300jt resepsi hotel,tanya_kemungkinan,jawa,cirebon,200000000,300000000,100,resepsi,hotel,
venue jawa bekasi 30 90jt-120jt lamaran+akad masjid,cari_venue,jawa,bekasi,90000000,120000000,30,lamaran+akad,masjid,siang
vendor minang depok 500 10jt-30jt akad rumah,cari_vendor,minang,depok,10000000,30000000,500,akad,rumah,pagi
venue modern malang 500 150jt-200jt resepsi gedung siang,cari_venue,modern,malang,150000000,200000000,500,resepsi,gedung,siang
venue minimalis jakarta barat 180 <= 8jt lamaran,cari_venue,minimalis,jakarta barat,0,8000000,180,lamaran,rumah,
cek batak pekanbaru 50 10jt-20jt resepsi kebun malam,tanya_kemungkinan,batak,pekanbaru,10000000,20000000,50,resepsi,kebun,malam
catering minang padang 600 30jt-50jt akad gedung,cari_catering,minang,padang,30000000,50000000,600,akad,gedung,
catering minang makassar 350 120jt-150jt resepsi ballroom,cari_catering,minang,makassar,120000000,150000000,350,resepsi,ballroom,malam
vendor mix_sunda_jawa medan 300 180jt-215jt lamaran+akad rooftop,cari_vendor,mix_sunda_jawa,medan,180000000,215000000,300,lamaran+akad,rooftop,
paket mix_sunda_jawa jakarta pusat 300 100jt-150jt lamaran+akad villa minggu,cari_rekomendasi_paket,mix_sunda_jawa,jakarta pusat,100000000,150000000,300,lamaran+akad,villa,minggu
cek internasional jakarta timur 150 <= 5jt akad+resepsi cafe,tanya_kemungkinan,internasional,jakarta timur,0,5000000,150,akad+resepsi,cafe,weekday
catering melayu yogyakarta 500 5jt-15jt resepsi rumah,cari_catering,melayu,yogyakarta,5000000,15000000,500,resepsi,rumah,malam
estimasi minang surakarta 600 estimasi resepsi outdoor,estimasi_budget,minang,surakarta,0,0,600,resepsi,outdoor,siang
paket sunda garut 200 <= 5jt lamaran cafe,cari_rekomendasi_paket,sunda,garut,0,5000000,200,lamaran,cafe,
vendor melayu bali 250 80jt-90jt lamaran,cari_vendor,melayu,bali,80000000,90000000,250,lamaran,kebun,malam
paket internasional depok 30 5jt-10jt akad masjid,cari_rekomendasi_paket,internasional,depok,5000000,10000000,30,akad,masjid,pagi
dekor rustic makassar 550 siang,cari_dekor,rustic,makassar,50000000,60000000,550,lamaran+akad,gedung,siang
venue jawa padang 150 100jt-150jt akad pantai,cari_venue,jawa,padang,100000000,150000000,150,akad,pantai,minggu
dekor rustic padang 150 90jt-105jt resepsi rooftop,cari_dekor,rustic,padang,90000000,105000000,150,resepsi,rooftop,malam
venue minimalis makassar 30 70jt-90jt resepsi villa pagi,cari_venue,minimalis,makassar,70000000,90000000,30,resepsi,villa,pagi
vendor sunda jakarta selatan 120 150jt-200jt akad+resepsi restoran,cari_vendor,sunda,jakarta selatan,150000000,200000000,120,akad+resepsi,restoran,pagi
dekor minang pekanbaru 180 70jt-90jt akad+resepsi cafe malam,cari_dekor,minang,pekanbaru,70000000,90000000,180,akad+resepsi,cafe,malam
dekor melayu surakarta 80 180jt-250jt lamaran,cari_dekor,melayu,surakarta,180000000,250000000,80,lamaran,pantai,pagi
paket rustic yogyakarta 350 70jt-90jt resepsi cafe,cari_rekomendasi_paket,rustic,yogyakarta,70000000,90000000,350,resepsi,cafe,weekday
paket batak surakarta 450 10jt-30jt ballroom,cari_rekomendasi_paket,batak,surakarta,10000000,30000000,450,akad,ballroom,malam
paket batak puncak 20 30jt-50jt lamaran+akad outdoor,cari_rekomendasi_paket,batak,puncak,30000000,50000000,20,lamaran+akad,outdoor,
catering mix_sunda_jawa bali 120 90jt-120jt akad+resepsi gedung pagi,cari_catering,mix_sunda_jawa,bali,90000000,120000000,120,akad+resepsi,gedung,pagi
catering batak padang 50 <= 10jt akad pantai,cari_catering,batak,padang,0,10000000,50,akad,pantai,weekday
dekor mix_sunda_jawa semarang 30 10jt-20jt akad rumah,cari_dekor,mix_sunda_jawa,semarang,10000000,20000000,30,akad,rumah,
dekor jawa garut 30 100jt-150jt lamaran villa minggu,cari_dekor,jawa,garut,100000000,150000000,30,lamaran,villa,minggu
paket melayu malang 350 60jt-80jt lamaran+akad rumah malam,cari_rekomendasi_paket,melayu,malang,60000000,80000000,350,lamaran+akad,rumah,malam
cek jawa semarang 600 60jt-80jt akad+resepsi pantai siang,tanya_kemungkinan,jawa,semarang,60000000,80000000,600,akad+resepsi,pantai,siang
estimasi mix_sunda_jawa malang 400 estimasi lamaran pantai,estimasi_budget,mix_sunda_jawa,malang,0,0,400,lamaran,pantai,siang
estimasi melayu yogyakarta 300 estimasi lamaran,estimasi_budget,melayu,yogyakarta,0,0,300,lamaran,hotel,siang
dekor internasional pekanbaru 450 100jt-150jt akad villa,cari_dekor,internasional,pekanbaru,100000000,150000000,450,akad,villa,pagi
estimasi internasional bogor 200 estimasi resepsi cafe,estimasi_budget,internasional,bogor,0,0,200,resepsi,cafe,
venue internasional makassar 150 120jt-180jt lamaran+akad rooftop,cari_venue,internasional,makassar,120000000,180000000,150,lamaran+akad,rooftop,malam
catering mix_sunda_jawa cirebon 30 100jt-150jt akad pagi,cari_catering,mix_sunda_jawa,cirebon,100000000,150000000,30,akad,hotel,pagi
vendor melayu jakarta timur 300 lamaran hotel,cari_vendor,melayu,jakarta timur,0,8000000,300,lamaran,hotel,siang
dekor minimalis bali 350 100jt-125jt lamaran+akad resort,cari_dekor,minimalis,bali,100000000,125000000,350,lamaran+akad,resort,malam
catering minimalis malang 120 <= 20jt akad+resepsi resort,cari_catering,minimalis,malang,0,20000000,120,akad+resepsi,resort,malam
catering mix_sunda_jawa semarang 600 180jt-250jt akad+resepsi taman minggu,cari_catering,mix_sunda_jawa,semarang,180000000,250000000,600,akad+resepsi,taman,minggu
vendor minang bekasi 30 10jt-30jt akad+resepsi,cari_vendor,minang,bekasi,10000000,30000000,30,akad+resepsi,cafe,
catering rustic depok 180 30jt-50jt outdoor,cari_catering,rustic,depok,30000000,50000000,180,lamaran,outdoor,
catering rustic bogor 80 30jt-50jt lamaran cafe,cari_catering,rustic,bogor,30000000,50000000,80,lamaran,cafe,minggu
venue modern puncak 50 90jt-120jt malam,cari_venue,modern,puncak,90000000,120000000,50,lamaran+akad,kebun,malam
venue melayu padang 550 180jt-250jt gedung,cari_venue,melayu,padang,180000000,250000000,550,akad+resepsi,gedung,malam
dekor internasional jakarta pusat 20 10jt-30jt lamaran ballroom,cari_dekor,internasional,jakarta pusat,10000000,30000000,20,lamaran,ballroom,
vendor minang bogor 450 70jt-90jt lamaran rooftop weekday,cari_vendor,minang,bogor,70000000,90000000,450,lamaran,rooftop,weekday
venue melayu garut 600 150jt-175jt akad+resepsi pantai,cari_venue,melayu,garut,150000000,175000000,600,akad+resepsi,pantai,siang
dekor melayu bandung 120 120jt-180jt akad+resepsi taman,cari_dekor,melayu,bandung,120000000,180000000,120,akad+resepsi,taman,
catering melayu jakarta selatan 200 180jt-215jt lamaran+akad taman,cari_catering,melayu,jakarta selatan,180000000,215000000,200,lamaran+akad,taman,pagi
venue rustic malang 30 90jt-120jt akad ballroom minggu,cari_venue,rustic,malang,90000000,120000000,30,akad,ballroom,minggu
dekor modern cirebon 550 <= 5jt akad ballroom,cari_dekor,modern,cirebon,0,5000000,550,akad,ballroom,siang
dekor bugis medan 150 <= 10jt akad+resepsi rumah,cari_dekor,bugis,medan,0,10000000,150,akad+resepsi,rumah,siang
vendor modern cirebon 120 40jt-50jt akad resort,cari_vendor,modern,cirebon,40000000,50000000,120,akad,resort,minggu
cek jawa garut 100 <= 10jt akad rooftop,tanya_kemungkinan,jawa,garut,0,10000000,100,akad,rooftop,malam
cek mix_sunda_jawa jakarta timur 50 50jt-70jt resepsi taman,tanya_kemungkinan,mix_sunda_jawa,jakarta timur,50000000,70000000,50,resepsi,taman,minggu
dekor bugis bekasi 450 <= 10jt akad+resepsi masjid malam,cari_dekor,bugis,bekasi,0,10000000,450,akad+resepsi,masjid,malam
vendor minang semarang 600 100jt-150jt lamaran restoran,cari_vendor,minang,semarang,100000000,150000000,600,lamaran,restoran,
paket internasional surabaya 50 lamaran+akad restoran,cari_rekomendasi_paket,internasional,surabaya,0,8000000,50,lamaran+akad,restoran,
estimasi minang jakarta selatan 100 estimasi lamaran+akad pantai,estimasi_budget,minang,jakarta selatan,0,0,100,lamaran+akad,pantai,
cek batak jakarta timur 500 5jt-15jt akad+resepsi,tanya_kemungkinan,batak,jakarta timur,5000000,15000000,500,akad+resepsi,taman,
vendor sunda tasikmalaya 120 20jt-40jt akad,cari_vendor,sunda,tasikmalaya,20000000,40000000,120,akad,restoran,
estimasi batak medan 300 estimasi lamaran villa,estimasi_budget,batak,medan,0,0,300,lamaran,villa,minggu
catering modern medan 180 <= 8jt akad+resepsi hotel pagi,cari_catering,modern,medan,0,8000000,180,akad+resepsi,hotel,pagi
estimasi mix_sunda_jawa garut 350 estimasi lamaran rooftop siang,estimasi_budget,mix_sunda_jawa,garut,0,0,350,lamaran,rooftop,siang
cek internasional tasikmalaya 30 200jt-250jt lamaran taman,tanya_kemungkinan,internasional,tasikmalaya,200000000,250000000,30,lamaran,taman,siang
paket mix_sunda_jawa jakarta barat 100 120jt-180jt lamaran+akad rumah,cari_rekomendasi_paket,mix_sunda_jawa,jakarta barat,120000000,180000000,100,lamaran+akad,rumah,pagi
catering bugis tasikmalaya 550 5jt-10jt lamaran+akad kebun,cari_catering,bugis,tasikmalaya,5000000,10000000,550,lamaran+akad,kebun,weekday
dekor modern jakarta barat 120 90jt-105jt resepsi rumah,cari_dekor,modern,jakarta barat,90000000,105000000,120,resepsi,rumah,weekday
cek batak tasikmalaya 100 60jt-80jt pantai,tanya_kemungkinan,batak,tasikmalaya,60000000,80000000,100,akad+resepsi,pantai,
venue internasional depok 550 <= 20jt akad rooftop siang,cari_venue,internasional,depok,0,20000000,550,akad,rooftop,siang
catering minang padang 300 200jt-300jt resepsi cafe pagi,cari_catering,minang,padang,200000000,300000000,300,resepsi,cafe,pagi
dekor batak bandung 150 70jt-80jt lamaran+akad malam,cari_dekor,batak,bandung,70000000,80000000,150,lamaran+akad,masjid,malam
dekor internasional malang 180 <= 20jt lamaran kebun weekday,cari_dekor,internasional,malang,0,20000000,180,lamaran,kebun,weekday
paket sunda tasikmalaya 600 40jt-60jt akad gedung malam,cari_rekomendasi_paket,sunda,tasikmalaya,40000000,60000000,600,akad,gedung,malam
cek rustic surabaya 200 70jt-80jt lamaran+akad minggu,tanya_kemungkinan,rustic,surabaya,70000000,80000000,200,lamaran+akad,outdoor,minggu
catering rustic bali 20 50jt-60jt lamaran kebun pagi,cari_catering,rustic,bali,50000000,60000000,20,lamaran,kebun,pagi
vendor melayu makassar 400 200jt-300jt lamaran+akad,cari_vendor,melayu,makassar,200000000,300000000,400,lamaran+akad,taman,
paket batak yogyakarta 20 180jt-215jt resepsi cafe,cari_rekomendasi_paket,batak,yogyakarta,180000000,215000000,20,resepsi,cafe,malam
dekor minimalis tasikmalaya 200 40jt-50jt resepsi kebun minggu,cari_dekor,minimalis,tasikmalaya,40000000,50000000,200,resepsi,kebun,minggu
estimasi bugis jakarta selatan 20 estimasi akad+resepsi,estimasi_budget,bugis,jakarta selatan,0,0,20,akad+resepsi,pantai,siang
estimasi bugis bogor 20 estimasi lamaran+akad cafe,estimasi_budget,bugis,bogor,0,0,20,lamaran+akad,cafe,weekday
dekor jawa puncak 600 20jt-40jt akad+resepsi,cari_dekor,jawa,puncak,20000000,40000000,600,akad+resepsi,gedung,
venue sunda jakarta pusat 200 100jt-150jt resepsi pagi,cari_venue,sunda,jakarta pusat,100000000,150000000,200,resepsi,taman,pagi
catering melayu surabaya 80 150jt-200jt akad weekday,cari_catering,melayu,surabaya,150000000,200000000,80,akad,restoran,weekday
catering rustic bekasi 180 150jt-175jt lamaran+akad outdoor,cari_catering,rustic,bekasi,150000000,175000000,180,lamaran+akad,outdoor,
paket jawa pekanbaru 300 50jt-70jt lamaran hotel pagi,cari_rekomendasi_paket,jawa,pekanbaru,50000000,70000000,300,lamaran,hotel,pagi
vendor minimalis semarang 150 <= 10jt lamaran pantai,cari_vendor,minimalis,semarang,0,10000000,150,lamaran,pantai,
cek jawa semarang 20 5jt-15jt lamaran gedung,tanya_kemungkinan,jawa,semarang,5000000,15000000,20,lamaran,gedung,pagi
estimasi rustic puncak 550 estimasi resepsi rooftop,estimasi_budget,rustic,puncak,0,0,550,resepsi,rooftop,weekday
vendor modern malang 600 akad+resepsi rooftop,cari_vendor,modern,malang,0,20000000,600,akad+resepsi,rooftop,minggu
paket bugis surakarta 120 20jt-40jt lamaran+akad hotel malam,cari_rekomendasi_paket,bugis,surakarta,20000000,40000000,120,lamaran+akad,hotel,malam
paket sunda bandung 50 120jt-150jt akad+resepsi resort,cari_rekomendasi_paket,sunda,bandung,120000000,150000000,50,akad+resepsi,resort,weekday
